Period,ISIN,Weights,Start Date,End Date,Country
8,US7551115071,8.0000000000000000000%,03/29/2019,09/30/2019,United States
8,US78781P1057,0.8401995564910120000%,03/29/2019,09/30/2019,United States
8,US8086251076,0.7399249884290240000%,03/29/2019,09/30/2019,United States
8,US6687711084,4.4100831912528500000%,03/29/2019,09/30/2019,United States
8,US8936411003,4.7721289191666500000%,03/29/2019,09/30/2019,United States
8,US8968181011,0.4223750007934210000%,03/29/2019,09/30/2019,United States
8,US9222801022,0.7220389853789180000%,03/29/2019,09/30/2019,United States
8,US92343X1000,0.5841535031637270000%,03/29/2019,09/30/2019,United States
8,US98980G1022,1.2546140190251300000%,03/29/2019,09/30/2019,United States
9,US5398301094,8.0000000000000000000%,09/30/2019,01/03/2020,United States
9,US6668071029,8.0000000000000000000%,09/30/2019,01/03/2020,United States
9,US7551115071,8.0000000000000000000%,09/30/2019,01/03/2020,United States
9,US3695501086,6.1772116004997400000%,09/30/2019,01/03/2020,United States
9,US5024311095,7.6288932223190700000%,09/30/2019,01/03/2020,United States
9,US4464131063,1.8047750699156900000%,09/30/2019,01/03/2020,United States
9,IL0010811243,0.0336172739969458000%,09/30/2019,01/03/2020,Israel
9,US1271903049,1.4113743025257500000%,09/30/2019,01/03/2020,United States
9,US8086251076,0.9513706559509900000%,09/30/2019,01/03/2020,United States
9,US0078001056,0.8749999152815540000%,09/30/2019,01/03/2020,United States
9,US05464C1018,1.5108468838148500000%,09/30/2019,01/03/2020,United States
9,US5645631046,0.1652743575672450000%,09/30/2019,01/03/2020,United States
9,US50077B2079,0.8037034601969500000%,09/30/2019,01/03/2020,United States
9,US6974351057,8.0000000000000000000%,09/30/2019,01/03/2020,United States
9,IL0010824113,2.5755866402909500000%,09/30/2019,01/03/2020,Israel
