SPY US EQUITY,US78462F1030,1999-12-17,DVD_CASH,0.347552,USD,1999-12-21,2000-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1999-09-17,DVD_CASH,0.372218,USD,1999-09-21,1999-10-29,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1999-06-18,DVD_CASH,0.40497,USD,1999-06-22,1999-07-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1999-03-19,DVD_CASH,0.319853,USD,1999-03-23,1999-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1998-12-18,DVD_CASH,0.391823,USD,1998-12-22,1999-01-29,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1998-09-18,DVD_CASH,0.35853,USD,1998-09-22,1998-10-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1998-06-19,DVD_CASH,0.35201,USD,1998-06-23,1998-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1998-03-20,DVD_CASH,0.313421,USD,1998-03-24,1998-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1997-12-19,DVD_CASH,0.379504,USD,1997-12-23,1998-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1997-09-19,DVD_CASH,0.348355,USD,1997-09-23,1997-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1997-06-20,DVD_CASH,0.349953,USD,1997-06-24,1997-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1997-03-21,DVD_CASH,0.299258,USD,1997-03-25,1997-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1996-12-20,DVD_CASH,0.40681,USD,1996-12-24,1997-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1996-09-20,DVD_CASH,0.35194,USD,1996-09-24,1996-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1996-06-21,DVD_CASH,0.35094,USD,1996-06-25,1996-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1996-03-15,DVD_CASH,0.28545,USD,1996-03-19,1996-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1995-12-15,DVD_CASH,0.372,USD,1995-12-19,1996-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,1995-09-15,DVD_CASH,0.31226,USD,1995-09-19,1995-10-31,EDI,1000,Quarterly
