ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name
US69360J6284,,183.6021,,,,,,,,,,,,,"PS Business Parks, Inc."
US74460W1071,,225,,,,,,,,,,,,,Public Storage
US74460W7920,,194.94,,,,,,,,,,,,,Public Storage
MHY756382088,,174.4594608,,,,,,,,,,,,,Seaspan Corp.
MHY756381338,,136.53736,,,,,,,,,,,,,Seaspan Corp.
US8168515059,,611.6275,,,,,,,,,,,,,Sempra Energy
US8465112022,,89.320165,,,,,,,,,,,,,"Spark Energy, Inc."
MHY8565J1358,,100.9,,,,,,,,,,,,,Teekay Offshore Partners LP
US9478905055,,146.58,,,,,,,,,,,,,Webster Financial Corp.
US94988N2071,,281.6,,,,,,,,,,,,,Wells Fargo Real Estate Investment Corp.
BMG053841620,,248.072,,,,,,,,,,,,,Aspen Insurance Holdings Ltd.
BMG053841547,,289.63,,,,,,,,,,,,,Aspen Insurance Holdings Ltd.
US29278N3017,,448.92,,,,,,,,,,,,,Energy Transfer Operating LP
US29278N4007,,454.434,,,,,,,,,,,,,Energy Transfer Operating LP
BMG686031441,,318.29832,,,,,,,,,,,,,PartnerRe Ltd.
