ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC,ROE Rank,ROE Percentile,Winzorized ROE,Debt/Equity Rank,Debt/Equity Percentile,Winzorized Debt/Equity,AISC Rank,AISC Percentile,Winzorized AISC,Z-ROE,Modified Z-ROE,Z-Debt/Equity,Modified Z-Debt/Equity,Z-AISC,Modified Z-AISC,Flag,Quality Score,Weight
AU000000NCM7,,,,,,,,,,,,,,,,,,2.643827808,26.95064233,916.1142956,21,45.94594594594595,2.643827808,18,54.054054054054056,26.95064233,12.0,47.61904761904761,916.1142956,-0.27611303464217324,0.7836296416174479,0.3213090142098982,1.3213090142098982,0.25342856954285276,1.2534285695428529,1,1.1194557417900663,2.4125304679916155
CA11777Q2099,,,,,,,,,,,,,,,,,,1.82975235,29.76727354,831.6342856000001,22,43.24324324324324,1.82975235,17,56.75675675675676,29.76727354,18.0,19.047619047619047,831.6342856000001,-0.3420827368433097,0.7451105453841715,0.254933001354253,1.254933001354253,0.8973565211976129,1.8973565211976129,1,1.299133355978679,2.799752313808332
CA66987E2069,,,,,,,,,,,,,,,,,,-14.15102189,32.09698297,0.0,37,2.7027027027027026,-10.50632407,16,59.45945945945946,32.09698297,,,,-1.3417533199084253,0.4270304611072806,0.20003166300133543,1.2000316630013355,,,0,0.813531062054308,1.7532345412112404
CA0084741085,,,,,,,,,,,,,,,,,,-6.880086276,37.8729111,962.1942856000001,34,10.81081081081081,-6.880086276,15,62.16216216216216,37.8729111,11.0,52.38095238095239,962.1942856000001,-1.0478962517093666,0.48830598677316095,0.06391761354785269,1.0639176135478527,-0.09780474083402714,0.9109088008130456,1,0.8210441337113531,1.7694259042139813
CA4969024047,,,,,,,,,,,,,,,,,,-0.519234789,38.49823596,1052.16,28,27.027027027027028,-0.519234789,14,64.86486486486487,38.49823596,7.0,71.42857142857143,1052.16,-0.5324360763418815,0.652555767537871,0.04918136735454488,1.049181367354545,-0.7835461155420705,0.5606807647337291,1,0.7541392998753818,1.6252398108655346
US6516391066,,,,,,,,,,,,,,,,,,2.661976518,40.57322415,997.302857,20,48.64864864864865,2.661976518,13,67.56756756756756,40.57322415,8.0,66.66666666666666,997.302857,-0.2746423294608917,0.7845338075528597,0.0002827247897087627,1.0002827247897088,-0.36541113040626916,0.7323801437757845,1,0.8390655587061177,1.8082637387557676
CA98462Y1007,,,,,,,,,,,,,,,,,,-6.85560119,44.08542852,895.2685713,33,13.513513513513514,-6.85560119,12,70.27027027027027,44.08542852,13.0,42.857142857142854,895.2685713,-1.0459120697568023,0.4887795593868655,-0.08248498778377122,0.9238003402221336,0.41231993981209036,1.4123199398120905,1,0.9416332798070298,2.029306646439403
ID1000106602,,,,,,,,,,,,,,,,,,4.57459706,52.12999047,0.0,16,59.45945945945946,4.57459706,11,72.97297297297297,52.12999047,,,,-0.11965054541976639,0.8931358128576552,-0.2720610833391543,0.7861257710793296,,,0,0.8396307919684924,1.8094818686166418
CA74139C1023,,,,,,,,,,,,,,,,,,4.2272120719999995,69.21658772,838.2171427000001,18,54.054054054054056,4.2272120719999995,10,75.67567567567568,69.21658772,17.0,23.809523809523807,838.2171427000001,-0.14780135623502794,0.8712308924953356,-0.6747194770609337,0.597114928020638,0.8471803234386522,1.8471803234386521,1,1.1051753813182086,2.3817549728593383
KYG3040R1589,,,,,,,,,,,,,,,,,,-0.007003731,74.89796109,816.2743252,25,35.13513513513514,-0.007003731,9,78.37837837837837,74.89796109,19.0,14.285714285714285,816.2743252,-0.4909267420137694,0.6707237665140522,-0.8086052731516613,0.5529122439510573,1.014434014889556,2.014434014889556,1,1.0793566751182218,2.3261132775012086
CA0679011084,,,,,,,,,,,,,,,,,,-18.34807909,75.56960358,884.2971427000001,38,0.0,-10.50632407,8,81.08108108108108,75.56960358,14.0,38.095238095238095,884.2971427000001,-1.3417533199084253,0.4270304611072806,-0.8244330288025824,0.5481154880518267,0.49594693683924945,1.4959469368392495,1,0.823697628666119,1.7751444308033382
US0351282068,,,,,,,,,,,,,,,,,,5.029036629,77.30015083,1070.811428,15,62.16216216216216,5.029036629,7,83.78378378378379,77.30015083,5.0,80.95238095238095,1070.811428,-0.08282442231197118,0.9235107552015402,-0.865214664007605,0.5361313200548175,-0.9257120057624457,0.5192884486401022,1,0.6596435079654867,1.42159265576222
US38059T1060,,,,,,,,,,,,,,,,,,-11.937860699999998,81.21109006,1062.0342859999998,36,5.405405405405405,-10.50632407,6,86.48648648648648,81.21109006,6.0,76.19047619047619,1062.0342859999998,-1.3417533199084253,0.4270304611072806,-0.9573788606147026,0.5108872993989301,-0.8588104148482985,0.5379784791455519,1,0.4919654132172542,1.0602308820952824
US8257242060,,,,,,,,,,,,,,,,,,-10.50632407,103.01113149999999,1435.664311,35,8.108108108108109,-10.50632407,5,89.1891891891892,103.01113149999999,1.0,100.0,1171.748571,-1.3417533199084253,0.4270304611072806,-1.4711130781926711,0.4046759368581314,-1.69508037749765,0.37104644757515104,1,0.4009176151801877,0.86401447209525
JE00B6T5S470,,,,,,,,,,,,,,,,,,25.76807916,137.7084844,0.0,6,86.48648648648648,25.76807916,4,91.8918918918919,137.7084844,,,,1.5977918476687072,2.597791847668707,-2.288782048830562,0.3040639316173548,,,0,1.4509278896430309,3.1268835470219303
CNE100000502,,,,,,,,,,,,,,,,,,11.84603023,149.6345911,0.0,10,75.67567567567568,11.84603023,3,94.5945945945946,137.7084844,,,,0.46959984419259965,1.4695998441925997,-2.288782048830562,0.3040639316173548,,,0,0.8868318879049772,1.9112045878080894
CNE1000004R6,,,,,,,,,,,,,,,,,,4.53525625,167.9336897,0.0,17,56.75675675675676,4.53525625,2,97.2972972972973,137.7084844,,,,-0.12283858099379978,0.8905999641684221,-2.288782048830562,0.3040639316173548,,,0,0.5973319478928885,1.2873054914096123
RU000A0JNAA8,,,,,,,,,,,,,,,,,,98.10035282,1103.3940890000001,0.0,1,100.0,29.65043557,1,100.0,137.7084844,,,,1.9124038331910285,2.9124038331910285,-2.288782048830562,0.3040639316173548,,,0,1.6082338824041917,3.4658924833887403
